Año,Trimestre,Provincia,HASTA 512 kbps,+ 512 Kbps - 1 Mbps,+ 1 Mbps - 6 Mbps,+ 6 Mbps - 10 Mbps,+ 10 Mbps - 20 Mbps,+ 20 Mbps - 30 Mbps,+ 30 Mbps,OTROS,Año_trimestre,Total y OTROS,Total_accesos,velocidad_media_conexion(Mbps)
2022,4,Buenos Aires,28934,23347,259866,28155,244555,9867,3760109,97634,2022-10-01,4452467,4354833,27
2022,4,Capital Federal,5160,5096,31320,64653,36336,8116,1299117,106772,2022-10-01,1556570,1449798,27
2022,4,Catamarca,710,3150,2716,5028,4638,3122,52739,228,2022-10-01,72331,72103,24
2022,4,Chaco,4610,7710,16067,17846,6704,3039,94866,3909,2022-10-01,154751,150842,21
2022,4,Chubut,1090,1614,46457,31007,34728,1577,19048,20026,2022-10-01,155547,135521,11
2022,4,Córdoba,990,9929,143686,108195,6312,20691,686330,1761,2022-10-01,977894,976133,23
2022,4,Corrientes,670,3282,22647,24858,7025,377,85806,7998,2022-10-01,152663,144665,20
2022,4,Entre Ríos,1070,4722,45629,467,20927,22483,130406,0,2022-10-01,225704,225704,21
2022,4,Formosa,840,2450,22458,12391,6724,3100,18930,6980,2022-10-01,73873,66893,13
2022,4,Jujuy,580,1763,18652,1407,3643,3350,46910,0,2022-10-01,76305,76305,21
2022,4,La Pampa,680,1687,52618,10334,9167,4479,19783,16028,2022-10-01,114776,98748,11
2022,4,La Rioja,180,5950,2531,301,24435,5029,50644,0,2022-10-01,89070,89070,22
2022,4,Mendoza,1030,2954,35541,20355,35935,14909,161163,21144,2022-10-01,293031,271887,22
2022,4,Misiones,510,351,35622,21373,12196,3182,101745,859,2022-10-01,175838,174979,20
2022,4,Neuquén,1680,9940,38814,1396,13008,5739,85247,225,2022-10-01,156049,155824,19
2022,4,Río Negro,1110,1081,32053,13931,20442,7335,57495,29644,2022-10-01,163091,133447,18
2022,4,Salta,1140,1197,31530,71105,5036,1170,90014,6747,2022-10-01,207939,201192,17
2022,4,San Juan,240,2027,30069,11247,2044,8188,19991,1184,2022-10-01,74990,73806,13
2022,4,San Luis,600,6240,11785,24684,13981,78506,2227,3353,2022-10-01,141376,138023,17
2022,4,Santa Cruz,510,681,11616,11509,10374,3236,5559,1048,2022-10-01,44533,43485,12
2022,4,Santa Fe,4680,9374,115767,19442,73345,22899,453078,1834,2022-10-01,700419,698585,22
2022,4,Santiago Del Estero,1780,1267,26183,58136,17735,6610,14345,9890,2022-10-01,135946,126056,11
2022,4,Tierra Del Fuego,220,9020,11649,13634,21365,3612,1812,2264,2022-10-01,63576,61312,10
2022,4,Tucumán,390,1562,29996,35425,26369,1375,153538,15118,2022-10-01,263773,248655,21
2022,3,Buenos Aires,29985,27709,290315,297915,267044,12419,3618689,65821,2022-07-01,4609897,4544076,25
